"","id","male","friend","poldisc","poleff","lr.self","lr.self.2","univ.election","polint","tuition","acceptable","protest1","protest2","protest3","protest4","protest5","protest6"
"125",84,1,4,3,24,4,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"126",85,1,0,0,24,3,3,0,3,2,NA,1,0,1,0,0,0
"127",86,0,2,2,20,6,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"131",87,0,1,1,24,4,3,0,3,3,200,NA,NA,NA,NA,NA,NA
"132",88,0,3,0,22,3,3,1,3,2,NA,1,1,1,0,1,0
"135",89,0,7,4,28,7,7,1,4,2,NA,1,1,1,0,1,0
"136",90,1,3,2,24,5,6,1,3,2,NA,1,1,1,0,1,0
"138",91,0,1,1,24,5,3,1,3,2,NA,1,1,1,0,0,0
"139",92,1,0,0,23,6,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"143",93,0,2,4,15,3,3,1,3,2,NA,1,1,1,1,1,0
"144",94,1,1,1,22,8,8,0,3,1,150,NA,NA,NA,NA,NA,NA
"147",95,0,2,3,23,6,6,1,3,2,NA,0,0,1,0,0,0
"149",96,1,1,4,26,2,8,1,3,2,NA,1,1,1,0,1,0
"150",97,1,2,1,21,4,5,1,2,2,NA,1,0,1,1,1,0
"151",98,0,1,0,27,6,7,1,3,2,NA,1,1,1,0,0,0
"152",99,1,3,2,25,6,6,0,3,2,NA,0,1,0,1,1,0
"153",100,1,0,1,18,4,5,1,5,2,NA,1,0,1,0,1,0
"157",101,0,7,3,24,3,5,1,4,2,NA,1,0,1,0,0,0
"159",102,0,5,4,23,4,3,1,4,2,NA,1,0,1,0,0,1
"160",103,1,4,8,25,7,8,1,3,2,NA,1,1,1,1,1,0
"161",104,0,1,1,27,6,6,0,3,2,NA,0,0,1,0,1,0
"164",105,1,6,5,23,9,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"167",106,0,1,17,22,5,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"169",107,1,2,5,22,2,3,0,3,2,NA,0,0,0,0,0,0
"170",108,0,2,3,27,5,5,1,3,2,NA,1,0,0,0,0,0
"171",109,0,10,3,21,4,4,1,4,2,NA,1,0,1,0,1,0
"172",110,0,2,1,30,5,5,0,3,NA,NA,NA,NA,NA,NA,NA,NA
"173",111,1,5,6,23,3,3,0,3,2,NA,1,0,1,0,0,0
"175",112,1,3,2,28,8,8,0,2,1,500,NA,NA,NA,NA,NA,NA
"176",113,0,2,2,26,3,5,1,3,2,NA,0,1,1,0,0,0
"177",114,1,0,0,25,3,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"178",115,0,0,0,23,5,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA
"179",116,1,8,5,19,5,5,1,3,1,150,NA,NA,NA,NA,NA,NA
"182",117,0,3,0,24,3,3,1,3,2,NA,0,0,1,0,0,0
"186",118,1,2,2,29,2,5,1,1,2,NA,0,0,1,0,0,0
"187",119,1,1,1,24,1,NA,0,4,2,NA,1,0,0,0,0,0
"188",120,1,1,1,25,11,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"189",121,1,1,1,21,5,5,0,3,2,NA,1,1,1,0,1,1
"190",122,0,1,1,25,5,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"193",123,1,4,2,23,5,5,1,2,2,NA,1,1,1,0,0,0
"195",124,1,3,3,25,3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"196",125,1,3,3,24,6,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"197",126,0,2,0,23,6,5,1,2,2,NA,0,0,1,0,1,0
"198",127,0,3,2,17,6,6,0,3,2,NA,1,0,1,0,0,0
"199",128,0,7,8,30,5,7,1,3,2,NA,1,1,1,1,1,1
"200",129,1,5,4,21,4,4,1,3,2,NA,1,0,1,1,1,0
"201",130,1,1,3,18,2,3,0,3,2,NA,1,1,1,0,1,0
"203",131,0,14,1,27,4,4,1,4,2,NA,1,1,1,0,0,0
"205",132,1,0,0,32,4,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"206",133,1,6,3,23,5,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"207",134,1,4,5,24,5,5,1,4,2,NA,1,0,0,1,1,0
"208",135,1,7,7,29,7,7,1,3,2,NA,1,0,1,0,0,0
"211",136,0,2,1,16,5,5,0,2,3,100,NA,NA,NA,NA,NA,NA
"212",137,1,7,3,29,4,3,1,4,2,NA,1,1,1,1,1,1
"213",138,0,3,2,27,4,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"215",139,1,11,7,21,6,6,1,4,2,NA,1,1,1,0,0,0
"216",140,0,7,2,27,4,4,1,4,2,NA,1,1,1,1,1,0
"218",141,0,2,1,24,NA,7,1,3,3,200,NA,NA,NA,NA,NA,NA
"221",142,1,1,1,27,7,7,1,4,1,200,NA,NA,NA,NA,NA,NA
"222",143,1,7,6,19,6,6,1,2,2,NA,1,0,1,0,0,0
"224",144,1,1,1,20,6,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA
"225",145,1,8,11,28,5,5,1,5,2,NA,1,0,1,0,0,0
"226",146,0,4,9,26,5,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA
"228",147,1,0,0,21,5,NA,0,2,NA,NA,NA,NA,NA,NA,NA,NA
"232",148,0,3,0,26,6,4,1,3,2,NA,0,0,1,0,0,0
"234",149,0,3,3,26,6,6,1,3,2,NA,1,1,1,0,0,0
"235",150,0,7,2,33,5,5,1,3,2,NA,1,0,1,0,0,0
"236",151,1,1,9,24,7,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"237",152,1,0,0,25,1,1,1,3,2,NA,1,1,1,1,1,0
"239",153,1,10,4,23,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"240",154,0,3,5,22,3,3,1,3,2,NA,1,1,0,0,1,1
"242",155,0,5,3,22,4,4,0,3,2,NA,0,0,1,0,0,0
"244",156,0,4,5,24,5,4,1,3,2,NA,1,1,1,0,0,0
"245",157,0,8,3,24,5,4,1,3,2,NA,0,0,1,0,0,0
"246",158,0,0,0,25,4,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA
"249",159,1,0,0,24,9,9,0,3,2,NA,0,0,1,0,1,0
"251",160,0,3,2,27,3,4,1,4,2,NA,1,1,1,0,1,0
"252",161,0,1,1,27,6,6,0,3,3,350,NA,NA,NA,NA,NA,NA
"253",162,1,0,8,26,7,7,1,3,1,250,NA,NA,NA,NA,NA,NA
"254",163,0,1,2,29,4,3,1,3,2,NA,1,0,1,1,1,0
"258",164,1,0,0,23,3,3,1,4,2,NA,1,0,1,1,1,0
"259",165,0,3,1,22,4,4,1,3,2,NA,0,1,1,0,0,0
